exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
80.0,z,310.668083333333,-28.5058055555556,DECaLS_32533_z,1202755
67.0,r,146.521004166667,10.963,DECaLS_47536_r,731454
72.0,g,225.542583333333,1.53783333333333,DECaLS_32884_g,425098
200.0,g,357.152958333333,11.1559722222222,DECaLS_7867_g,754108
79.0,g,240.442208333333,10.8553055555556,DECaLS_31763_g,348269
132.0,z,302.086625,-21.2838611111111,DECaLS_16525_z,1202737
66.0,g,183.749416666667,-6.985,DECaLS_13151_g,432757
118.0,g,145.642875,21.94475,DECaLS_2023_g,433131
80.0,z,305.952833333333,-21.994,DECaLS_16562_z,1202741
80.0,z,307.881333333333,-22.2813611111111,DECaLS_16583_z,1202743
87.0,z,151.891875,29.5174166666667,DECaLS_17970_z,431151
80.0,z,305.456708333333,-24.7454722222222,DECaLS_32453_z,1202745
80.0,z,305.143291666667,-24.7744444444444,DECaLS_16581_z,1202746
104.0,z,170.096833333333,2.78297222222222,DECaLS_19295_z,425302
65.0,z,182.805833333333,5.57863888888889,DECaLS_9625_z,426098
107.0,z,306.548041666667,-7.54808333333333,DECaLS_32336_z,1202731
84.0,r,250.39575,16.1080833333333,DECaLS_46980_r,425449
93.0,z,304.1,-15.8278333333333,DECaLS_32368_z,1202716
151.0,z,254.361166666667,26.5896944444444,DECaLS_15244_z,430498
69.0,r,220.837166666667,4.73258333333333,DECaLS_32910_r,425391
134.0,r,137.218833333333,1.52563888888889,DECaLS_47434_r,792872
80.0,z,195.140541666667,23.4431666666667,DECaLS_41381_z,637629
61.0,r,4.20791666666667,18.2309722222222,DECaLS_18054_r,762932
250.0,z,354.58725,30.0229444444444,DECaLS_39963_z,790503
64.0,g,142.239,-3.212,DECaLS_15720_g,511869
141.0,z,300.912083333333,-12.4279722222222,DECaLS_16460_z,1202703
58.0,r,46.5520041666667,-1.63,DECaLS_10382_r,678501
80.0,z,120.728791666667,18.2218888888889,DECaLS_10728_z,430270
68.0,g,142.623708333333,26.5013611111111,DECaLS_17960_g,431943
118.0,z,304.732625,-7.32355555555556,DECaLS_32326_z,1202709
67.0,r,201.592333333333,18.1914444444444,DECaLS_9738_r,433276
65.0,z,192.595541666667,14.4323333333333,DECaLS_25540_z,425737
129.0,z,305.238541666667,-8.82441666666667,DECaLS_32335_z,1202710
132.0,z,303.611458333333,-10.1049166666667,DECaLS_16462_z,1202711
125.0,r,242.603708333333,2.65713888888889,DECaLS_46833_r,425128
101.0,g,240.551375,5.12513888888889,DECaLS_46827_g,425435
95.0,z,305.448541666667,-14.60475,DECaLS_32369_z,1202715
76.0,r,14.8884583333333,26.7303611111111,DECaLS_20673_r,678433
125.0,g,250.343375,29.6367777777778,DECaLS_31055_g,433387
66.0,z,187.445708333333,4.24655555555556,DECaLS_9682_z,426103
132.0,z,240.70725,-3.59980555555556,DECaLS_22244_z,1202686
170.0,z,247.166125,-8.22136111111111,DECaLS_22280_z,1202692
152.0,g,150.360291666667,12.4288888888889,DECaLS_31644_g,634776
125.0,r,227.131625,1.54219444444444,DECaLS_32872_r,425107
143.0,z,301.216208333333,-12.4014166666667,DECaLS_32332_z,1202702
177.0,z,252.127833333333,15.3203888888889,DECaLS_46979_z,425459
122.0,g,250.026791666667,17.79825,DECaLS_47002_g,425454
250.0,z,246.480958333333,-5.54163888888889,DECaLS_38143_z,1202674
103.0,z,155.90075,2.98469444444444,DECaLS_31737_z,425287
71.0,g,230.300416666667,1.55280555555556,DECaLS_32853_g,425103
98.0,z,242.620208333333,-0.959472222222222,DECaLS_22250_z,1202680
125.0,r,242.271208333333,4.43616666666667,DECaLS_46840_r,425129
65.0,z,198.264083333333,17.8186944444444,DECaLS_25585_z,425734
115.0,z,244.890458333333,-4.60152777777778,DECaLS_22262_z,1202682
67.0,g,225.066583333333,14.1024722222222,DECaLS_16029_g,425816
80.0,z,307.114041666667,-25.1024444444444,DECaLS_16603_z,1202750
80.0,z,307.426333333333,-25.0718611111111,DECaLS_32475_z,1202751
125.0,r,231.882833333333,1.55605555555556,DECaLS_32846_r,425114
65.0,z,187.970416666667,15.5136944444444,DECaLS_25487_z,425723
219.0,z,156.773708333333,-1.603,DECaLS_31739_z,425270
94.0,g,226.391291666667,3.15538888888889,DECaLS_32871_g,425405
85.0,z,305.829833333333,-1.58116666666667,DECaLS_27524_z,1202764
62.0,r,228.718291666667,1.54861111111111,DECaLS_32862_r,425101
180.0,z,251.793,17.0370833333333,DECaLS_47001_z,425462
70.0,g,225.656833333333,12.5691666666667,DECaLS_16009_g,425819
125.0,g,247.369166666667,21.8019166666667,DECaLS_46983_g,425137
125.0,r,233.463916666667,1.55813888888889,DECaLS_32840_r,425115
111.0,z,304.01975,-21.6636944444444,DECaLS_16543_z,1202738
123.0,g,215.0475,-0.111666666666667,DECaLS_33005_g,425381
80.0,z,308.47075,-23.8325,DECaLS_16604_z,1202742
96.0,z,304.574458333333,-23.2173333333333,DECaLS_16561_z,1202739
100.0,g,238.747208333333,5.56797222222222,DECaLS_31752_g,425431
122.0,r,212.5785,-1.69458333333333,DECaLS_33047_r,425375
86.0,g,219.964541666667,3.11758333333333,DECaLS_32927_g,425388
104.0,z,303.488708333333,-24.37475,DECaLS_32432_z,1202747
97.0,z,253.065916666667,34.7805,DECaLS_34488_z,425446
118.0,z,307.305791666667,-14.8559166666667,DECaLS_32385_z,1202734
90.0,z,307.306916666667,-20.7373611111111,DECaLS_16563_z,1202718
79.0,g,244.660125,12.3356666666667,DECaLS_31037_g,425859
65.0,z,172.844291666667,4.16388888888889,DECaLS_19277_z,425640
61.0,r,222.349416666667,1.52377777777778,DECaLS_32912_r,425093
65.0,g,222.189833333333,12.6404722222222,DECaLS_16052_g,425811
114.0,z,303.476333333333,-20.1155555555556,DECaLS_16526_z,1202721
116.0,z,301.560125,-19.7274444444444,DECaLS_16509_z,1202722
118.0,z,302.427875,-17.037,DECaLS_16495_z,1202725
115.0,r,213.399666666667,-0.11325,DECaLS_33027_r,425379
125.0,r,239.704833333333,2.52577777777778,DECaLS_31745_r,425125
132.0,z,303.793125,-15.8573611111111,DECaLS_16496_z,1202726
125.0,r,237.924291666667,2.81738888888889,DECaLS_31749_r,425123
219.0,z,160.255666666667,-1.5885,DECaLS_23032_z,425281
108.0,r,197.976625,-0.128833333333333,DECaLS_44970_r,425354
114.0,g,201.492916666667,-0.126083333333333,DECaLS_32025_g,425361
67.0,z,208.802375,7.80188888888889,DECaLS_1278_z,426169
113.0,z,304.233333333333,-5.82275,DECaLS_32319_z,1202706
110.0,z,306.040833333333,-6.04655555555556,DECaLS_32327_z,1202708
169.0,z,153.339708333333,10.7276666666667,DECaLS_47540_z,625971
72.0,g,237.305875,14.3343333333333,DECaLS_15923_g,425844
98.0,z,180.29075,1.30605555555556,DECaLS_25494_z,425313
68.0,r,244.59275,4.56477777777778,DECaLS_15102_r,426268
107.0,z,304.9305,-13.0911666666667,DECaLS_32356_z,1202714
67.0,g,321.106,-15.799,DECaLS_720_g,558545
65.0,z,194.720166666667,1.47,DECaLS_9776_z,426128
80.0,z,201.089833333333,9.07419444444444,DECaLS_9783_z,426176
71.0,r,250.465583333333,14.4143611111111,DECaLS_31087_r,425872
75.0,r,233.895375,4.66588888888889,DECaLS_31768_r,425421
65.0,z,197.115041666667,13.2671388888889,DECaLS_25605_z,425742
66.0,z,211.267833333333,6.29983333333333,DECaLS_1257_z,426173
100.0,z,172.8565,1.32980555555556,DECaLS_19259_z,425305
123.0,g,205.829708333333,-1.66002777777778,DECaLS_33093_g,425372
177.0,z,247.76925,-4.64511111111111,DECaLS_22282_z,1202691
80.0,z,200.274208333333,10.5495277777778,DECaLS_9782_z,426177
69.0,r,219.210208333333,4.71608333333333,DECaLS_32926_r,425390
70.0,z,180.933583333333,5.56433333333333,DECaLS_9608_z,426063
80.0,z,221.486833333333,9.60027777777778,DECaLS_1135_z,426199
67.0,z,197.536958333333,8.93947222222222,DECaLS_9767_z,426158
142.0,z,302.569708333333,-11.2674166666667,DECaLS_32333_z,1202700
197.0,z,248.175791666667,-9.11136111111111,DECaLS_6420_z,1202696
65.0,z,172.269791666667,27.0981666666667,DECaLS_19085_z,425674
65.0,z,174.436833333333,18.2044166666667,DECaLS_19155_z,425668
136.0,g,355.549291666667,11.2903333333333,DECaLS_23738_g,661988
88.0,g,242.022958333333,2.71502777777778,DECaLS_15089_g,426243
80.0,z,220.258458333333,4.83422222222222,DECaLS_1166_z,426212
80.0,z,212.181458333333,7.88991666666667,DECaLS_1235_z,426203
70.0,z,178.131041666667,4.17711111111111,DECaLS_3340_z,426059
116.0,z,172.563083333333,1.41372222222222,DECaLS_3387_z,426041
112.0,r,205.83075,-1.66019444444444,DECaLS_33093_r,425371
157.0,z,159.664875,-3.15052777777778,DECaLS_38902_z,425589
59.0,r,204.253791666667,13.6949166666667,DECaLS_25613_r,425766
109.0,z,241.298958333333,-0.0398611111111111,DECaLS_30953_z,1202679
70.0,g,229.72075,1.63283333333333,DECaLS_1109_g,426225
126.0,z,246.479375,-3.72561111111111,DECaLS_22272_z,1202681
72.0,r,250.11475,16.1245,DECaLS_31108_r,425881
